".id","iso3c","PC1","PC2","labels","join.on"
"Economic","MNG",-0.45,-2.3,"F","Economic F"
"Economic","MOZ",-3.06,-0.26,"A","Economic A"
"Economic","MRT",-1.99,3.48,"C","Economic C"
"Economic","MUS",0.38,0.57,"E","Economic E"
"Economic","MWI",-2.8,-0.86,"A","Economic A"
"Economic","MYS",1.42,-1.61,"F","Economic F"
"Economic","NAM",-1.77,1.1,"B","Economic B"
"Economic","NER",-2.82,0.9,"B","Economic B"
"Economic","NGA",-1.18,0.38,"B","Economic B"
"Economic","NIC",-1.47,-0.07,"B","Economic B"
"Economic","NLD",3.48,-0.9,"H","Economic H"
"Economic","NOR",3.18,-1.54,"H","Economic H"
"Economic","NPL",-1.45,-2.01,"D","Economic D"
"Economic","NZL",3.31,-1.2,"H","Economic H"
"Economic","OMN",0.67,1.06,"E","Economic E"
"Economic","PAK",-0.93,1.58,"E","Economic E"
"Economic","PAN",0.26,-1.15,"F","Economic F"
"Economic","PER",0.13,-1.73,"F","Economic F"
"Economic","PHL",0.08,-0.26,"F","Economic F"
"Economic","PNG",-2.75,-1.6,"A","Economic A"
"Economic","POL",2.74,-0.39,"H","Economic H"
"Economic","PRK",-1.79,-1.36,"D","Economic D"
"Economic","PRT",2.39,0.9,"G","Economic G"
"Economic","PRY",-0.97,-1.43,"D","Economic D"
"Economic","PSE",-1.09,3.78,"C","Economic C"
"Economic","QAT",0.91,-1.25,"F","Economic F"
"Economic","ROU",2,-0.38,"F","Economic F"
"Economic","RUS",1.08,-1.08,"F","Economic F"
"Economic","RWA",-2.79,-2.52,"D","Economic D"
"Economic","SAU",0.59,0.32,"E","Economic E"
"Economic","SDN",-2.1,2.31,"C","Economic C"
"Economic","SEN",-2.24,1.08,"B","Economic B"
"Economic","SGP",2.54,-0.86,"H","Economic H"
"Economic","SLB",-3.68,-0.26,"A","Economic A"
"Economic","SLE",-2.81,-1.27,"A","Economic A"
"Economic","SLV",0.04,-0.81,"F","Economic F"
"Economic","SOM",-2.78,0.87,"B","Economic B"
"Economic","SRB",0.99,1.78,"E","Economic E"
"Economic","SSD",-3.92,0.77,"B","Economic B"
"Economic","STP",-1.87,0.77,"B","Economic B"
"Economic","SUR",-0.71,-0.08,"F","Economic F"
"Economic","SVK",2.72,0.04,"H","Economic H"
"Economic","SVN",3.11,-0.05,"H","Economic H"
"Economic","SWE",3.08,-0.98,"H","Economic H"
"Economic","SWZ",-1.8,0.71,"B","Economic B"
"Economic","SYC",-0.33,-0.1,"F","Economic F"
"Economic","SYR",-0.65,2.79,"E","Economic E"
"Economic","TCD",-3.37,-0.59,"A","Economic A"
"Economic","TGO",-1.02,-1.42,"D","Economic D"
"Economic","THA",0.26,-1.46,"F","Economic F"
"Economic","TJK",-1.01,0.5,"B","Economic B"
"Economic","TKM",-0.57,-0.82,"F","Economic F"
"Economic","TLS",-2.13,0.57,"B","Economic B"
"Economic","TTO",-0.1,1.2,"E","Economic E"
"Economic","TUN",0.06,1.73,"E","Economic E"
"Economic","TUR",1.4,0.93,"F","Economic F"
"Economic","TZA",-2.93,-1.11,"A","Economic A"
"Economic","UGA",-1.84,-1.91,"D","Economic D"
"Economic","UKR",1.28,0.06,"F","Economic F"
"Economic","URY",0.3,-0.63,"F","Economic F"
"Economic","USA",3.55,-0.2,"H","Economic H"
"Economic","UZB",-0.44,-0.51,"F","Economic F"
"Economic","VEN",-0.64,0.3,"F","Economic F"
"Economic","VNM",-0.06,-1.84,"F","Economic F"
"Economic","VUT",-1.45,0.09,"B","Economic B"
"Economic","YEM",-2.24,3.19,"C","Economic C"
"Economic","ZAF",0.72,2.17,"E","Economic E"
"Economic","ZMB",-2.39,-0.15,"B","Economic B"
"Economic","ZWE",-2.67,-1.7,"A","Economic A"
"Environmental","AFG",-2.8,0.88,"C","Environmental C"
"Environmental","AGO",-1.86,-0.39,"B","Environmental B"
"Environmental","ALB",1.14,0.19,"F","Environmental F"
"Environmental","ARE",1.63,0.33,"G","Environmental G"
"Environmental","ARG",1.64,-0.04,"G","Environmental G"
"Environmental","ARM",0.53,0.41,"F","Environmental F"
"Environmental","AUS",3.01,0.34,"G","Environmental G"
"Environmental","AUT",2.7,-0.7,"H","Environmental H"
"Environmental","AZE",0.24,2,"D","Environmental D"
"Environmental","BDI",-4.17,-0.03,"A","Environmental A"
"Environmental","BEL",2.26,-1.02,"H","Environmental H"
"Environmental","BEN",-1.43,-2,"B","Environmental B"
"Environmental","BFA",-2.68,-1.71,"B","Environmental B"
"Environmental","BGD",-1.34,1.84,"C","Environmental C"
"Environmental","BGR",1.27,-0.1,"G","Environmental G"
"Environmental","BHR",1.38,-1.18,"H","Environmental H"
"Environmental","BIH",0.96,0.51,"F","Environmental F"
"Environmental","BLR",0.98,0.37,"F","Environmental F"
"Environmental","BOL",-0.03,-0.25,"E","Environmental E"
"Environmental","BRA",1.56,-0.31,"G","Environmental G"
"Environmental","BRB",1.89,-1.38,"H","Environmental H"
"Environmental","BTN",0.13,-0.47,"E","Environmental E"
"Environmental","BWA",-0.26,-1.64,"E","Environmental E"
"Environmental","CAF",-4.97,-1.48,"B","Environmental B"
"Environmental","CAN",2.78,0.22,"G","Environmental G"
"Environmental","CHE",2.63,-0.96,"H","Environmental H"
"Environmental","CHL",2.23,0.47,"G","Environmental G"
"Environmental","CHN",-0.01,2.77,"D","Environmental D"
"Environmental","CIV",-1.82,-1.36,"B","Environmental B"
"Environmental","CMR",-2.06,-0.74,"B","Environmental B"
"Environmental","COD",-4.38,-0.23,"A","Environmental A"
"Environmental","COG",-2.13,-0.74,"B","Environmental B"
"Environmental","COL",0.57,1.68,"D","Environmental D"
"Environmental","COM",-1.8,-1.62,"B","Environmental B"
"Environmental","CPV",0.27,-1.55,"E","Environmental E"
"Environmental","CRI",1.57,0.74,"G","Environmental G"
"Environmental","CUB",0.97,1.61,"D","Environmental D"
"Environmental","CYP",1.65,0.22,"G","Environmental G"
"Environmental","CZE",2.16,-1.01,"H","Environmental H"
"Environmental","DEU",2.45,-0.65,"H","Environmental H"
"Environmental","DJI",-1.22,-0.03,"C","Environmental C"
"Environmental","DNK",2.92,-1.59,"H","Environmental H"
"Environmental","DOM",0.8,0.59,"F","Environmental F"
"Environmental","DZA",0.02,1.34,"F","Environmental F"
"Environmental","ECU",0.03,1.91,"D","Environmental D"
"Environmental","EGY",-0.05,1.73,"D","Environmental D"
"Environmental","ERI",-3.8,0.1,"A","Environmental A"
"Environmental","ESP",2.28,-0.06,"G","Environmental G"
"Environmental","EST",2.65,-1.56,"H","Environmental H"
"Environmental","ETH",-3.32,0.49,"C","Environmental C"
"Environmental","FIN",3.01,-1.67,"H","Environmental H"
"Environmental","FJI",0.85,0.31,"F","Environmental F"
"Environmental","FRA",2.44,-0.17,"G","Environmental G"
"Environmental","GAB",-0.28,-1.53,"E","Environmental E"
"Environmental","GBR",2.63,-0.94,"H","Environmental H"
"Environmental","GEO",0.69,0.41,"F","Environmental F"
