"iso3c","PC1","PC2","cut","cluster","countryname"
"MUS",1.9240287809599,0.205915724399784,"B","F","Mauritius"
"MWI",-0.183693780129589,-1.5312063429055,"D","D","Malawi"
"MYS",-0.539342651073465,0.500224130470861,"F","C","Malaysia"
"NAM",0.0205463143839479,-3.63289190437594,"D","D","Namibia"
"NER",-0.158976796448609,-2.16855998692046,"D","D","Niger"
"NGA",-0.751232187840968,-1.41498060683404,"D","D","Nigeria"
"NIC",-1.10052331920609,0.312211202535091,"F","C","Nicaragua"
"NLD",3.10220926432588,0.807171681959641,"B","F","Netherlands"
"NOR",3.40508664500828,0.633066093594244,"B","F","Norway"
"NPL",-0.394881513231684,-1.3318667035556,"D","D","Nepal"
"NZL",2.89215714712538,-0.30835843515651,"B","F","New Zealand"
"OMN",-1.22651286107084,0.0877844896679029,"F","C","Oman"
"PAK",-2.60625855643336,1.02860889967195,"E","B","Pakistan"
"PAN",0.90041906612999,-1.66202116737382,"D","D","Panama"
"PER",-0.145522736665887,-0.191935998196633,"D","D","Peru"
"PHL",-1.06624743427093,0.0515153716387328,"F","C","Philippines"
"PNG",-0.665285330831625,-1.41576189078207,"D","D","Papua New Guinea"
"POL",2.67939252457966,0.947060280327974,"B","F","Poland"
"PRK",-3.27053441694131,2.70185313708556,"E","B","Democratic People’s Republic of Korea"
"PRT",2.99258854501108,0.445892474851672,"B","F","Portugal"
"PRY",-0.635391971263147,-0.587838431576874,"D","D","Paraguay"
"PSE",-2.21580119850611,0.127422063816404,"A","A","West Bank and Gaza Strip"
"QAT",-2.44548917778461,0.625694956228641,"A","A","Qatar"
"ROU",1.44732485699797,0.405331945170064,"C","E","Romania"
"RUS",-1.11569700480256,2.24202684603679,"E","B","Russia"
"RWA",-1.57697720439742,-1.22332597925461,"A","A","Rwanda"
"SAU",-2.30711657881353,2.00260745676814,"E","B","Saudi Arabia"
"SDN",-3.43984878729484,0.563591116402394,"A","A","Sudan"
"SEN",0.502543419936765,-1.63965276658475,"D","D","Senegal"
"SGP",0.425150047730122,0.938696600086455,"C","E","Singapore"
"SLB",0.487019222041805,-1.97904042382082,"D","D","Solomon Islands"
"SLE",-0.439103076238059,-1.18658502290951,"D","D","Sierra Leone"
"SLV",-0.0535351180844373,0.188254245074349,"F","C","El Salvador"
"SOM",-3.57471929325361,0.117920488902105,"A","A","Somalia"
"SRB",1.02602223587277,1.22697241549505,"C","E","Serbia"
"SSD",-4.2830732261435,0.906422408845599,"A","A","South Sudan"
"STP",0.532075561869474,-1.4587782133629,"D","D","Sao Tome and Principe"
"SUR",0.814889290885756,-1.12789050602197,"D","D","Suriname"
"SVK",2.47232908885639,1.48408213539127,"B","F","Slovak Republic"
