"iso3c","PC1","PC2","cut","cluster","countryname"
"LVA",2.41433235241886,1.10060945222505,"D","F","Latvia"
"MAR",0.347453077334406,-0.429139007339179,"C","E","Morocco"
"MDA",0.205593921291842,-0.768690232617167,"B","D","Moldova"
"MDG",-0.152413446080618,-0.883869353688623,"B","D","Madagascar"
"MDV",0.844531235198885,-0.618591771508301,"C","E","Maldives"
"MEX",-1.6766556407092,-0.0262773263181562,"E","C","Mexico"
"MKD",0.249485330030347,-0.126021600834399,"C","E","Former Yugoslav Republic of Macedonia"
"MLI",-3.55348625050568,-1.45562159154217,"E","C","Mali"
"MMR",-1.88176549973329,-0.775518178130628,"E","C","Myanmar"
"MNE",1.75881870769768,1.64842267021724,"D","F","Montenegro"
"MNG",0.962280918383028,-0.614453157681223,"C","E","Mongolia"
"MOZ",-1.16638106538063,-0.913279340074511,"B","D","Mozambique"
"MRT",-0.507511280928507,-0.345787061212322,"E","C","Mauritania"
"MUS",0.695641162974512,0.295505604725296,"C","E","Mauritius"
"MWI",0.485201858654902,-1.42901130749484,"B","D","Malawi"
"MYS",0.832353925927179,-0.00208495663608004,"C","E","Malaysia"
"NAM",0.888300607715567,-0.463605361831566,"C","E","Namibia"
"NER",-2.4064158894587,-0.55013363916201,"E","C","Niger"
"NGA",-3.60905548675988,-0.920095202799129,"E","C","Nigeria"
"NIC",0.109115027760843,-1.02600777208371,"B","D","Nicaragua"
"NLD",2.65977393623145,1.45247845502032,"D","F","Netherlands"
"NOR",3.24434616434041,1.36158642172604,"D","F","Norway"
"NPL",-1.34516704053639,-0.638355939152719,"E","C","Nepal"
"NZL",2.59203306953461,0.269498110143544,"D","F","New Zealand"
"OMN",1.53126890565973,1.14140909167957,"D","F","Oman"
"PAK",-2.98094338550659,-0.444549085038038,"E","C","Pakistan"
"PAN",0.94203698745947,-0.160702880950013,"C","E","Panama"
"PER",-0.56407130378723,-0.42439082003829,"E","C","Peru"
"PHL",-1.44800735214184,-0.57733490729236,"E","C","Philippines"
"PNG",-0.0221501211302953,-1.88661991792914,"B","D","Papua New Guinea"
"POL",2.38049452645142,1.09030632195939,"D","F","Poland"
"PRK",-0.0777061194644681,1.37408257400528,"D","F","Democratic People’s Republic of Korea"
"PRT",2.83333855821148,1.51311333105313,"D","F","Portugal"
"PRY",-0.49767316754802,-0.733578009155686,"B","D","Paraguay"
"PSE",-2.56744586471372,0.283880552503747,"E","C","West Bank and Gaza Strip"
"QAT",1.89436360329081,0.494747554041322,"D","F","Qatar"
"ROU",2.00601962306786,0.717434521466322,"D","F","Romania"
"RUS",-0.408883616131981,0.651171995350397,"E","C","Russia"
"RWA",0.3121862248735,0.479578426410547,"C","E","Rwanda"
"SAU",-0.744893406798337,1.23598347095361,"E","C","Saudi Arabia"
"SDN",-4.23022049435146,0.902788231517591,"A","B","Sudan"
"SEN",-0.0709631700185663,-0.746080668613418,"B","D","Senegal"
"SGP",2.61668453571956,1.98565973873422,"D","F","Singapore"
"SLB",-0.289525702424424,-0.881198788585688,"B","D","Solomon Islands"
"SLE",-1.02151683819442,-1.56111074438156,"B","D","Sierra Leone"
"SLV",-0.870314480376,-3.52735509452118,"B","D","El Salvador"
"SOM",-6.00775553436344,-0.320561781768668,"A","B","Somalia"
"SRB",0.928397913719402,0.356940641310465,"C","E","Serbia"
"SSD",-5.44891414849608,0.747760121119841,"A","B","South Sudan"
"STP",0.806274265471248,-0.66324710088722,"C","E","Sao Tome and Principe"
"SUR",0.5763590239372,-0.507241732753454,"C","E","Suriname"
"SVK",2.25764269187935,1.42596257215608,"D","F","Slovak Republic"
"SVN",2.81563126527968,1.37186284661215,"D","F","Slovenia"
"SWE",1.99468673633284,0.433490364795141,"D","F","Sweden"
"SWZ",0.510579067711664,-0.993729900538715,"B","D","Swaziland"
"SYC",1.17530121848014,-0.166110769908541,"C","E","Seychelles"
"SYR",-10.0034499697834,9.63001039233284,"F","A","Syrian Arab Republic"
"TCD",-2.78748150573423,-1.45351952473917,"E","C","Chad"
"TGO",-0.0197903472564623,-1.46772350730184,"B","D","Togo"
"THA",-0.716795023666885,-0.122642820959929,"E","C","Thailand"
"TJK",-0.541166410159712,-0.860157223828621,"B","D","Tajikistan"
"TKM",0.941853956669413,-0.0358738139652458,"C","E","Turkmenistan"
"TLS",0.233989148132031,-1.73555155639992,"B","D","Timor-Leste"
"TTO",1.07565009288016,-0.74633403580803,"C","E","Trinidad and Tobago"
"TUN",-0.63717355866659,-0.350319865393392,"E","C","Tunisia"
"TUR",-1.75261110737015,1.9464628946064,"E","C","Turkey"
"TZA",-1.29085268540551,-1.28197259254545,"B","D","Tanzania"
"UGA",-1.1935564310395,-1.40831617079771,"B","D","Uganda"
"UKR",-2.49126313189218,0.569107300475581,"E","C","Ukraine"
"URY",1.42188952221199,0.873178966888521,"D","F","Uruguay"
"USA",1.53101573755621,1.39592700135265,"D","F","United States"
"UZB",0.901297009358577,0.0215438680345791,"C","E","Uzbekistan"
"VEN",-1.33032778484448,-1.90159373066145,"B","D","Venezuela"
"VNM",0.915394867370306,0.132066449998829,"C","E","Viet Nam"
"VUT",0.721515764062994,-0.811375003361249,"C","E","Vanuatu"
"YEM",-6.07098871562844,1.88235546049781,"A","B","Yemen"
"ZAF",0.197726768159079,-0.977476323785009,"B","D","South Africa"
"ZMB",0.127950393016848,-1.7066023459358,"B","D","Zambia"
"ZWE",0.0107334832519541,-0.734094132882314,"B","D","Zimbabwe"
