iso3c,pop2017
CHN,1409517397
IND,1339180127
USA,324459463
IDN,263991379
BRA,209288278
PAK,197015955
NGA,190886311
BGD,164669751
RUS,143989754
MEX,129163276
JPN,127484450
ETH,104957438
PHL,104918090
EGY,97553151
VNM,95540800
DEU,82114224
COD,81339988
IRN,81162788
TUR,80745020
THA,69037513
GBR,66181585
FRA,64979548
ITA,59359900
TZA,57310019
ZAF,56717156
MMR,53370609
KOR,50982212
KEN,49699862
COL,49065615
ESP,46354321
ARG,44271041
UKR,44222947
UGA,42862958
DZA,41318142
SDN,40533330
IRQ,38274618
POL,38170712
CAN,36624199
MAR,35739580
AFG,35530081
SAU,32938213
PER,32165485
VEN,31977065
UZB,31910641
MYS,31624264
AGO,29784193
MOZ,29668834
NPL,29304998
GHA,28833629
YEM,28250420
MDG,25570895
PRK,25490965
AUS,24450561
CIV,24294750
CMR,24053727
TWN,23626456
NER,21477348
LKA,20876917
ROU,19679306
BFA,19193382
MWI,18622104
MLI,18541980
SYR,18269868
KAZ,18204499
CHL,18054726
ZMB,17094130
NLD,17035938
GTM,16913503
ECU,16624858
ZWE,16529904
KHM,16005373
SEN,15850567
TCD,14899994
SOM,14742523
GIN,12717176
SSD,12575714
RWA,12208407
TUN,11532127
CUB,11484636
BEL,11429336
BEN,11175692
GRC,11159773
BOL,11051600
HTI,10981229
BDI,10864245
DOM,10766998
CZE,10618303
PRT,10329506
SWE,9910701
AZE,9827589
HUN,9721559
JOR,9702353
BLR,9468338
ARE,9400145
HND,9265067
TJK,8921343
SRB,8790574
AUT,8735453
CHE,8476005
ISR,8321570
PNG,8251162
TGO,7797694
SLE,7557212
HKG,7364883
BGR,7084571
LAO,6858160
PRY,6811297
SLV,6377853
LBY,6374616
NIC,6217581
LBN,6082357
KGZ,6045117
TKM,5758075
DNK,5733551
SGP,5708844
FIN,5523231
SVK,5447662
NOR,5305383
COG,5260750
ERI,5068831
PSE,4920724
CRI,4905769
IRL,4761657
LBR,4731906
NZL,4705818
CAF,4659080
OMN,4636262
MRT,4420184
HRV,4189353
KWT,4136528
PAN,4098587
MDA,4051212
GEO,3912061
PRI,3663131
BIH,3507017
URY,3456750
MNG,3075647
ARM,2930450
ALB,2930187
JAM,2890299
LTU,2890297
QAT,2639211
NAM,2533794
BWA,2291661
LSO,2233339
GMB,2100568
MKD,2083160
SVN,2079976
GAB,2025137
LVA,1949670
GNB,1861283
BHR,1492584
TTO,1369125
SWZ,1367254
EST,1309632
TLS,1296311
GNQ,1267689
MUS,1265138
CYP,1179551
DJI,956985
FJI,905502
REU,876562
COM,813912
BTN,807610
GUY,777859
MNE,628960
MAC,622567
SLB,611343
LUX,583455
SUR,563402
ESH,552628
CPV,546388
GLP,449568
MDV,436330
MLT,430835
BRN,428697
BHS,395361
MTQ,384896
BLZ,374681
ISL,335025
BRB,285719
PYF,283007
GUF,282731
NCL,276255
VUT,276244
MYT,253045
STP,204327
WSM,196440
LCA,178844
GUM,164229
CUW,160539
KIR,116398
VCT,109897
TON,108020
GRD,107825
ABW,105264
VIR,104901
ATG,102012
SYC,94737
IMN,84287
AND,76965
DMA,73925
CYM,61559
BMU,61349
GRL,56480
ASM,55641
KNA,55345
MNP,55144
MHL,53127
FRO,49290
SXM,40120
MCO,38695
LIE,37922
TCA,35446
GIB,34571
SMR,33400
VGB,31196
BES,25398
PLW,21729
COK,17380
AIA,14909
WLF,11773
NRU,11359
TUV,11192
SPM,6320
MSR,5177
SHN,4049
FLK,2910
NIU,1618
TKL,1300
VAT,792
